电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
双枪李向阳,666000,17000,5445,735,1654,战争,暂无评分,评分人数不足,已完结, 全20集,0,24,简介：李向阳率领他的武工队小分队联系到了内线老勤爷，老勤爷把县大队的老康介绍给了李向阳。老康告诉李向阳他们没有彻底摸清日军松井炸药库的地点，但是有个没有露面的特派员摸清了日军松井炸药库的详细地图，并把地图交给了自己。李向阳带领自己的兄弟们按照地图的指示去炸松井的炸药库，但是却遭到日军的伏击，兄弟们全部被俘，老康也被日军俘虏……,
保密局的枪声,297000,1173,1510,105,460,谍战,暂无评分,评分人数不足,已完结, 全35集,0,2,简介：1949年初，国共之争已经到了关键时刻，中华民族的命运随时将要改写。在两党之争的要冲东江市，却迎来了解放前最为黑暗紧张的时刻。某地下党叛变，致使我党接头地点曝露于敌人的枪口之下。潜伏在国民党卧底保密局的地下党员刘啸尘（张磊 饰）冒着暴露的危险力挽狂澜，而自己则成为新局长张仲年（谢君豪 饰）监控的对象。在张的主持下，针对东江市地下党的捕杀全面展开，而中共特科也开始了消灭叛徒的行动。刘啸尘成为这场血雨腥风中的关键棋子，他该如何应对即将到来的暴风雨？本片改编自20世纪70年代同名经典反特电影，原作由吕铮小说《战斗在...,
醉侠张三,228000,7094,3352,1567,734,古装,暂无评分,评分人数不足,已完结, 全26集,0,7,简介：,
我们像葵花,83000,422,385,253,284,情感,暂无评分,评分人数不足,已完结, 全29集,0,1,简介：冯建军是个父母双亡的孤儿，不幸的童年使他过早地就开始闯荡社会。他和童年时期的伙伴刘建国，李跃进，何斌结义为四兄弟，并被尊为“老大”。老二何斌被地痞王向阳敲诈了一笔钱，冯建军为了给老二要回被敲诈的钱，在地痞王向阳面前点燃了炸弹，自己被炸弹炸飞的石头砸伤了脑袋。冯建军的初恋情人张小英移情别恋，爱上了军人章志国，失恋中的冯建军带领自己的弟兄和地痞王向阳在麻将桌上赌钱，因为赌资问题双方大打出手。老二何斌用板砖砸了王向阳脑袋。冯建军代老二何斌承认罪行，被关进监狱。出狱后的冯建军和自己的女徒弟彭嫦娥结了婚，但是...,
一路夫妻,11000,2,81,3,18,,暂无评分,评分人数不足,已完结, 全25集,0,0,简介：邱英杰是一名民警，工作勤恳，性格温和。他的妻子于若华是小学教师，善良贤淑，五岁的儿子邱月亮聪明可爱，一家人的生活幸福美满。一天，邱英杰的初恋女友王晓红突然找到他，称自己无力抚养女儿毛毛，求他帮忙把孩子送到孤儿院去，这令邱英杰非常讶异。经过王晓红这么一打岔，有些精神恍惚的邱英杰在出警时不慎被一个武疯子砍伤入院。于若华担心不已，悄悄托自己的好友陈莉为他换工作。,
家庭档案,113000,2263,692,508,92,刑侦,暂无评分,评分人数不足,已完结, 全20集,0,1,简介：本剧是一部描写现代家庭情感的电视剧，导演和主创人员皆为电视剧《红蜘蛛》的原班人马。每两集一个故事，通过对十个具有典型性的“问题家庭”的案例分析，向人们提出警示—该以怎样的态度面对家庭矛盾，以维持家庭的圆满，避免悲剧的发生，促进社会的安定团结。剧中通过十个家庭案件，揭示出个人内心的虚弱，描绘了人们由于情感错位引起的犯罪。导演将通过“情感十戒”向观众警示：每个人都应保持对生存的警戒，坚守生存规范。该剧延续了《红蜘蛛》的纪实风格，并且加强了整体的艺术性。都晓介绍说，《家庭档案》不完全是纪实，但故事却力求真...,
关中秘事,183000,945,748,371,276,战争,暂无评分,评分人数不足,已完结, 全30集,0,1,简介：故宫运车在陕西华县遭遇日本特工伏击，被押运部队击散，顺利抵达西安。夜里日本人又来抢劫，再次死伤惨重，守军连长孙继海趁机偷走了十二幅国宝级古画，藏在妓院，途中遗失了著名的《清明上河图》。国宝丢失，重庆震怒，国内外哗然，一时间各路人马纷纷进入西安，展开了激烈的争夺……,
跤王,90000,5666,698,1094,950,励志,暂无评分,评分人数不足,已完结, 全23集,0,3,简介：摔跤在中国已有千年的历史传统。中国式摔跤有很强的观赏性和艺术性，且极具阳刚、粗犷的雄性之美，很适合影视这一载体去表现，但是这一题材多年来却无人涉及。一向以策划题材准、独特而著称的制片人俞胜利敏锐地捕捉到了这一题材，指导编剧张建广十易其稿，打磨剧本，使剧本经历了脱胎换骨的转变和提升。为了打造精品，又不惜成本，在成片基础上精剪掉好几集，最终推出了这部《跤王》。,
城里城外,66000,67,811,19,87,剧情家庭情感,暂无评分,评分人数不足,已完结, 全40集,0,2,简介：反映百姓琐碎生活的电视剧在北京本地荧屏一直很受欢迎，从明日（13日）起，又一部此类题材的40集长篇电视连续剧《城里城外》将在北京四套播出。这也是今年北京四套的最后一部作品。《城里城外》讲的是这样一个故事，解放初期，城郊太阳村修了一条路，但是谁也没有想到，这条路成为日后划分北京城乡的分界线。一边是城里，吃商品粮，另一边则还要继续种地，做农民。商品粮、农业粮、户口本这些仿佛已经没那么重要的东西被再次提起，一个小本子，改变了几代人的命运。,
咱爸咱妈六十年,118000,658,1276,36,155,情感战争剧情,暂无评分,评分人数不足,已完结, 全38集,0,1,简介：2009年是新中国成立六十周年，也是历经沧桑变化的六十年。该剧讲述了高树江和白玉兰这对老党员夫妻六十年的坎坷人生命运，他们经历了中国六十年间风雨道路上的重大社会及民生事件，抗日胜利、开国大典、抗美援朝、精兵简政、大跃进、建国十周年、文革、十一届三中全会、知青返城、全民经商、两岸融合、改革开放……他们的命运和时代紧密地联系在一起，他们的婚姻也打上了鲜明的时代烙印。高树江夫妻对党的忠诚必将带给我们内心深处的感动。60载时代的潮起潮落，60年婚姻的风雨同舟，风云变幻的时代再现了两个党员六十年相濡以沫的传奇人生。该...,
都叫我三妹,88000,3085,411,354,251,励志,暂无评分,评分人数不足,已完结, 全27集,0,0,简介：该剧讲述了姚三美（三妹）追寻梦想的故事。三美对动物有着天生的恐惧并兼而皮毛过敏，但是她却阴差阳错的读了兽医大专。而且也只能在宠物医院里做文员，接受电话咨询的闲差。不过在她心中始终梦想成为一名室内设计师。三美的生活平淡而又无奇。但是命运似乎偏爱捉弄三美，男友潘立安在结婚当天成为了“落跑新郎”，稳定牢固的工作一夕间化为泡影。二姐姚二美为了救急，把三美拉进了自己垂死挣扎的“幸福美天”装饰设计公司，三美成为了首席设计师，但是美梦还没做够，二美就和她的小情人拿着钱跑了，留给三美一个公章和负债累累的公司……,
谁在说谎,148000,454,538,1025,170,情感,暂无评分,评分人数不足,已完结, 全26集,0,1,简介：一部讲述“情、理、法”的现实题材电视剧《谁在说谎》，讲述了夜幕下的强奸罪案，只因为作案者是副市长的公子，金钱收买、权力制约、一幕幕黑色交易若隐若现，而江珊扮演的“慈母”则竭尽所能地维护着犯了法的儿子，假公济私地替儿子隐瞒了一切。江珊说这样的“母亲”角色对她来说是一个全新尝试：“她虽然嚣张、蛮横、自私，但一切都是为了她的儿子，她张开双翼保护着儿子，却未想这份表面的爱，实质是害了儿子。”生活中...(阅读全文)江珊也身为人母，她坦言十分理解剧中母亲对儿子那种不顾一切的爱。问及江珊生活中教育孩子方面有没有遇到理...,
十大奇冤,8254000,351000,71000,7238,24000,武侠古装,9.4,655,已完结, 全36集,2,149,简介：故事发生在明朝中叶。锦衣卫杨傲（彭敬慈 饰）与御医李鹤龄（黄志忠 饰）本是同门师兄弟，因杨傲爱上师兄鹤龄未婚妻霓裳（吕一 饰），便嫁祸师兄奸杀慧妃，为救李鹤龄，霓裳被迫嫁给杨傲。李鹤龄无奈远走他乡，逃至山西原仓县开了家医馆谋生。多年后，因一桩离奇案件，他与原仓县令刘福星（张卫健 饰）相识相交，联手破获许多疑案。在一桩杀人案中，查获杨傲手下范泰（房振华 饰）的情妇，从其口中得知当年杨傲陷害自已的真相。鹤龄上京求皇帝（宗峰岩 饰）为自己平反，得到了旧爱霓裳的鼎力相助，杨傲一怒之下杀死霓裳。鹤龄联手福星除掉杨傲...,
瑞雪飘飘,41000,411,220,78,204,年代,暂无评分,评分人数不足,已完结, 全20集,0,2,简介：本剧故事起自七十年代末、八十年代初、截止到九十年代末期时间跨度大概有二十多年1977年北京北方大学校园中从未有过今天热闹场面一批饱经人生磨难"老三届"们重新获得了渴望已旧求学机会们即将续写逝去青春断代史用们特殊人生阅历和饱满生活激情以次为生活起点以后岁月中不断认识和发现自己寻找和实践着自己人生理想从而成为极富特色"七七级""七八级"逐步成为我们今天社会中坚力量,
复活,149000,167,453,275,293,都市情感剧情,暂无评分,评分人数不足,已完结, 全30集,0,1,简介：因为爱，田梅从一个舞蹈演员沦为睹酒女郎……她的亲生父亲利用了她，骗了她老板的1500万巨款悄然潜逃，她却被送进了监狱……她刻心铭骨地爱过两个男人，一个是他的初恋情人沈荣，一个是阳光男孩儿郭飞。沈荣为了事业抛弃了她，断送了她的舞蹈生涯；郭飞在面临爱情和事业的选择时，退却了，然而当死亡来临时，田梅却把生留给了郭飞，自己选择了死亡……,
超级男女,125000,3969,1609,2287,599,搞笑情感,暂无评分,评分人数不足,已完结, 全36集,0,2,简介：金龙（胡兵饰演）广告公司企划，由于父亲是奥运选手却未能夺牌而成终生憾事，自小耳濡目染的他矢志在自己的长项〝马拉松〞夺取2008的北京奥运金牌。杜小凤（安以轩饰演）努力往上爬的小说作家，感情丰富喜欢幻想，随时能把眼前的人事物幻化成想像中的情境，梦想是追求到〝全世界最美丽的爱情〞，并且化为文字分享给所有的读者。莫文虎（黄维德饰演）随时修饰自己的扮相以符合上流标准，妙嘴生花极具唬人的口才，事业之路跌跌撞撞的他矢志赶紧发达拯救母亲脱离苦海，梦想是赚大钱成为人上人。乐敏（傅淼饰演）在孤儿院长大，波折的青少年生活让...,
生死相随,84000,4,153,61,210,年代,暂无评分,评分人数不足,已完结, 全21集,0,0,简介：阴险狡诈、豪爽睿智，掀起闽东苏区革命风暴。二十年代湘、赣、闽一代土匪、军阀横行，黑恶势力不断壮大，帮派搏杀昏天暗地，争权夺挚。以青龙帮为首的黑暗挚力，鱼肉乡里，搅得湘闽一带民不聊生，后洋一派为了穷苦大众与之针锋相对，殊死相争。性格刚烈的山区好汉詹儒柏在一个偶然的机会，认识了才华横溢的地下党县委书记马力峰，并从此结下始终不渝的友谊。在马力峰的引导下，詹儒柏走上革命道路，并受党的重托，筹建革命武装。在敌重兵压境的严峻局势下，詹儒柏坚韧不拔，临危受命，代理闽东特委书记。他们共同领导创建了闽东工农红军独立师...,
酒民胡四海,34000,23,144,2,146,剧情情感,暂无评分,评分人数不足,已完结, 全21集,0,0,简介：中国是一个有着数千年诗酒文化历史的国家，酒不仅是饮料，更是文化、是生活、是人生、是社会。酒不仅渗透着我们日常生活的方方面面，而且渗透着人的思想、情感和灵魂。《酒民胡四海》以酒为媒，通过胡四海、杨英雄、罗健三个“酒党”不同的家庭背景、不同的婚姻状态、不同的事业情势和不同的人生境遇，说酒话，道酒情，演酒事，看酒民，力图以轻喜剧的方式，展现社会众生相，演绎出一幕幕笑中有泪、泪中有笑的酒文化、酒世界。,
赶走你的忧郁,24000,2149,295,390,154,,暂无评分,评分人数不足,已完结, 全25集,0,0,简介：心理医生周文（张国立 饰）有一个和谐的三口之家，不料看似平静的生活随着葛云峰（吕凉 饰）的出现发生了惊天逆转。原来，多年前葛妻不堪家暴虐待，曾找周文做过心理咨询，但最终无法解开心结，带着儿子离家出走，途中遭遇车祸，儿子当场死亡，葛妻也变成了半个植物人。葛云峰把这一切都归罪于周文这个所谓的狗屁心理医生，他偷走了周文的儿子，把他当成故去的儿子养着，待妻子病故后，他开始实施报复周文。他先是唆使患者家属将周文告上法庭，又蛊惑他人挑拨周文夫妻关系，均以失败告终，恼羞成怒的葛云峰使出了最下三烂的手段，他迷奸了周妻...,
红绒花,85000,212,775,184,592,情感,暂无评分,评分人数不足,已完结, 全20集,0,1,简介：李苒苒策划并出演的早期力作，名导赵宝刚参演的情感剧集，名模瞿颖展示演艺才华的电视作品，展示娱乐圈错综复杂光怪陆离的真实内幕，叙写几代人欲说还休催人泪下的情感故事。,
其实男人最辛苦,93000,2717,1347,151,243,搞笑,暂无评分,评分人数不足,已完结, 全12集,0,3,简介：这是一部以抒情喜剧的形式讲述一个发生在老百姓身边的故事，它真实的展现了下岗工人丁大可的生活经历。离婚已近一年的他为人忠厚，聪明能干。为求生计四处谋职，有时他因心直口快坏了老板的“好事”，有时他自作多情被老板误认成“情敌”而被处处刁难……心地善良的他相亲恰遇“对象”临产，危难之际，他热心相助而被护士指责为“只顾自己痛快，不顾女友死活的男人”……他仗义替朋友征婚，又不能同她亲近而被怀疑是同性恋！还遭到自己女友“你还不如陈世美呢！”的痛斥……总之，他出于好心好意的所作所为却常常陷自己于“好人难当”的尴尬境...,
我们俩的婚姻,56000,4221,434,368,445,情感,暂无评分,评分人数不足,已完结, 全28集,0,0,简介：秦岩（李亚鹏 饰）是博物馆的科研人员，年近三十依然形单影只。夏小宁（苗圃 饰）在同男友的爱情长跑中倍感疲惫，两人之间的感情最终无疾而终。在车水马龙川流不息的城市中，这对男女被巧合和缘分牵到了一起。在经过了短暂的相知相恋后，秦岩和夏小宁决定携手步入婚姻的殿堂。结婚之后，爱情的考验接踵而至。一次偶然中，秦岩得知了夏小宁不为人知的的一段过去，她内心中隐藏的秘密令他痛苦万分。而夏小宁和秦岩的母亲（徐蕾 饰）之间爆发的无法调和的矛盾亦令秦岩感到万分无奈，夹在在特立独行的妻子和苛刻强势的母亲之间，秦岩不知道到底该听谁的。,
虎胆雷霆,97000,463,441,206,94,刑侦,暂无评分,评分人数不足,已完结, 全22集,0,1,简介：该剧讲述了刑警大案队副大队长申铁虎破案的故事。,
厨缘,170000,1082,2023,1020,889,搞笑,暂无评分,评分人数不足,已完结, 全20集,0,4,简介：居住香港的名厨梁世宽因与洋儿媳不和，在一次激烈争吵后负气出走，独自回到大陆想寻找失散多年师兄蔡老根。让他归还偷走的食界宝典"银筷子"以了心结。在千林寺梁世宽偶遇天资聪明机敏古灵精怪"一钵"，与之成为忘年交的梁世宽得知一钵身世便萌生了要收他为徒传授厨艺的念头，还想要帮助"一钵"寻找家人。于是爷孙二人踏上了征程……蔡老根徒弟老饕为得到"银筷子"谎称自己知道蔡老根去向，把老少二人骗到成都并与追踪至此的笨贼成老大和土匪鸡联手，企图对二人下手。谁知却屡次被一钵戏弄。女导游霍小兰因与男友意见不合发生口角两个人不欢而散，...,
你是我的眼,8282000,175000,63000,5380,21000,搞笑,8.7,590,已完结, 全32集,6,171,简介：为了给母亲治病，生长在大山里的青年张三斤（沈腾 饰）带着母亲来到了车水马龙的繁华大都市深圳，在这里一边工作一边照顾母亲。一场意外中，张三斤结识了美丽的盲女花儿（许龄月 饰），花儿十分同情张三斤和他母亲的遭遇，主动来到了张三斤家，肩负起了照顾老太太的责任，令张三斤十分感动。最终，两人走到了一起，携手步入了婚礼的殿堂。花儿自幼喜欢唱歌，她的声音空灵而又美好，常常能够打动人心。终于，花儿的才华得到了听众们的肯定，她一夜爆红，成为了家喻户晓的明星，而她的眼疾亦因此有了治愈的希望。虽然打心眼里替妻子感到高兴，但...,
壮丁也是兵,896000,8963,1921,1336,1047,战争,暂无评分,评分人数不足,已完结, 全35集,0,13,简介：故事发生在20世纪40年代前后，华夏大地的抗日战争正经历最为艰难痛苦的时刻。十万日军扑向湖北，企图歼灭中国军队的有生力量。川军149团上尉营长赵国武（奇道 饰）奉命阻击日军的猛烈攻势，在弹尽粮绝之际他抗命带领残部突围，却遭遇了有生以来最大的痛苦。在此之后他只身一人辗转回到位于四川香溪县的老家，期间与土匪黄麻子（斌子 饰）及其妹妹黄飞燕（徐翠翠 饰）发生龃龉和交集。赵国武率领民团与黄麻子的土匪团伙剑拔弩张，你来我往。而与此同时，他作为一名血性军人的使命并未就此结束。,
黑白大搏斗,916000,58000,6923,910,1575,悬疑,暂无评分,评分人数不足,已完结, 全20集,1,25,简介：二０００五年月二日早晨七点，北环市龙头堡大街行人匆匆。在人行道上，几十个正方形的冷冻小肉块被往来的人在脚下踢去，马上过去打扫，但是心里忽然一惊。老张曾经当过派所所长，极具工作经验，他感觉这些冻的硬梆梆的肉块简直是人肉，于是急心报警。 华林分局刑警大队经老祖宗技术勘验，证实这些肉块不时牲畜的肉而确实是人肉，死者为中年男性，系服用了大量安眠药之后被人活活放在冰柜里冻死，然后是，这个离奇曲折的连环杀人案就此揭开了序幕。,
人生几度秋凉,971000,28000,5429,1252,1578,战争古装,暂无评分,评分人数不足,已完结, 全31集,0,6,简介：满清政府倒是倒台了，可是洋人、军阀、革命军你方唱罢我登场，在古老的华夏大地上演连场精彩却又无比沉重的大戏。熙熙攘攘的舞台上下，连平头老百姓也不自觉被卷入其中。老北京海王村，周彝贵（李成儒 饰）从师父手中接过古玩店尚珍阁，他谨记师父教诲凭着一颗良心做生意，同时小心周旋在各方势力中间。另一边厢，八旗子弟富嗣隆（张铁林 饰）倒驴不倒架，在家中豢养戏班，结交权贵，攀附洋人，时刻寻找机会在改朝换代的乱局中谋求出头。同在海王村开店的余旺财（李立群 饰）觊觎尚珍阁，用尽各种阴谋诡计给周掌柜使坏。他和富三爷臭味相投，为...,
末路天堂,507000,28000,6625,528,1754,刑侦,暂无评分,评分人数不足,已完结, 全24集,0,27,简介：国际刑警戴志成（仼程伟 饰）为将偷渡团伙一网打尽，只身混入“天堂鸟旅行团”，该团所有成员目的地只有一个——美国。虽然目的地相同，但毎个成员的出发点千姿百态，记者房可欣（罗海琼 饰）深入团伙內部，是想写一篇关于偷渡客的重磅报道，农民高守银则是借机卖掉境外的文物。一干人马随着刀龙（张国强 饰），开始了生死未卜的冒险旅途。在大林莽中，人性中最丑恶的一面逐渐显现出来，狡诈、贪婪、谎言无时无刻地笼罩在这群偷渡客身上，偶尔的团结也只为临时利用。理想与现实总是阻隔着高壑的山谷，越往前走希望越渺茫，何爽（卡杰琳娜 饰）...,
一双绣花鞋,3731000,61000,61000,1901,9807,悬疑,8.6,159,已完结, 全22集,1,66,简介：重庆解放前夕，叶大龙（连奕名 饰）带解放军小分队进入市邻执行秘密仼务。随着国军的溃逃，潜伏特务花名册的归属成了控制重庆地下网络的王牌。军统特务计雨棠（韩童生 饰）近来心神不定，缘自他在上司林南轩（钱勇夫 饰）的葬礼上，在棺材中发现了一双绣花鞋。山城重庆解放后，沈超（张潮 饰）当了公安局长，随军作战的林莹（孙俪 饰）爱上了骁勇善战的叶大龙，但不久叶发现林竟是国民党国防部二厅中将林南轩的女儿，心中很是纠结，并对原先在敌后工作过的沈超也产生了怀疑。其实林南轩的死是敌人抛放的烟幕弹，他躲在幕后导演，计雨棠等人在前...,
危险旅程,178000,260,712,224,536,刑侦,暂无评分,评分人数不足,已完结, 全26集,0,1,简介：故事开始于二十世纪七十年代，青春貌美的知青韩欣欣（王姬 饰）与同是知青的丁建军（石凉 饰）在劳动中碰出爱的火花，不久，两人公开宣布相爱，可惜好景不长，丁建军英年早逝，欣欣痛不欲生，她只身返回北京。回京时间不长，她结识了美籍华人林阿强，俩人飞越大西洋，来到美国旧金山。不料，阿强卷入当地黑帮，并在一次火并中被对方射杀，欣欣决定为夫报仇，辗转找到黑帮头目路易，除掉了仇人黄四。欣欣感到了复仇的快感，不知不觉中坠入深渊，几年之后，她竟坐上了当地“三义帮”帮主的地位，成了帮内大名鼎鼎的大姐大。就在她得意忘形之际，...,
保姆与保安,275000,404,891,470,379,剧情家庭,暂无评分,评分人数不足,已完结, 全33集,0,2,简介：高级住宅小区的保姆大苗和保安国梁引起了轩然大波，他们在中年保安大丁的新婚之日，帮助小保姆二梅逃婚，新娘从此下落不明。大丁赔了夫人又折钱，狂怒不已，逼大苗交出二梅，遭拒后发誓不让大苗和国梁有一天安稳的日子，他表面粗悍，却功于心计，招招恶毒狠辣。先是诬陷大苗伙同二梅诈骗他钱物，后又设计偷走居民名贵小狗栽赃大苗，说是被大苗和国梁盗买，所造“罪证”真得令人深信不疑，警方加入，一直被誉为小区模范保姆的大苗名誉扫地，陷入困境。但大苗认实理，为保护保姆姐妹敢做敢当，勇于面对，与大丁周旋。忠厚善良的国梁却不一样了，...,
南宋传奇之蟋蟀宰相,298000,13000,2884,1893,721,古装,暂无评分,评分人数不足,已完结, 全35集,0,15,简介：一部比纪晓岚更精彩更好看的古装巨片。荒唐年代荒唐人，玩虫玩人又玩国。社会警世，人生反思，幽默诙谐，妙趣横生。《蟋蟀宰相》是依据史书记载精心打造的一部大背景的虚故事。这部古装剧以幽默、诙谐的戏说样式，表现南宋末年忽必烈大一统中国时，南宋临安府（杭州）宰相贾似道以“小虫治国到小虫亡国”的过程。被世人称作“蟋蟀宰相”的贾似道是一个地地道道的玩家，原本只会玩虫，且只愿意玩虫的他，年少时就被父亲赶出了家门，后在心上人的威逼下走进了考场，无奈之下，他把自己玩蟋蟀的体会写成了文章，不成想，这篇〈蟋蟀经〉歪打正着被...,
跨国追逃,149000,1569,549,408,184,刑侦,暂无评分,评分人数不足,已完结, 全23集,0,2,简介：《跨国追逃》是一部以检察系统反贪惩腐为主题的具有纪实风格的电视连续剧。《跨国追逃》缘于李景田的报告文学《未扶正的反贪局长》，为基本原型精心创造而成。青年检察官李亚宁（先为大案组组长后为反贪副局长）在侦查香港投资商叶宗宪的走私、行贿案件时，发现他代表公司支出了数额巨大的“事业拓展费”，实为行贿专用资金。在侦查过程中，他屡屡受到强力干扰和阻挠。在检察长龚育新的巧妙支持帮助下，他渐渐弄清了叶宗宪背后隐藏着一张巨大的腐败关系网络，发现市公路局局长陆建伟（后为省公路局副局长）是腐败行为的根源和核心人物。但陆建...,
追赶我可能丢了的爱情,30000,363,280,6,84,情感,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：石若玉有了儿子关键和女儿关海黎以后，丈夫关守家做了结扎手术，十年后石若玉突然又怀上了小女儿石小余，关守家怀疑她有外遇，石若玉怎么解释也没用，两人为此离了婚。三个孩子归石若玉抚养，关守家调离北京去了云南。二十四年后，石若玉在街心广场上扭秧歌时一眼看到了自从离婚就没见过面的丈夫关守家。,
橘子红了,6375000,209000,63000,3832,14000,情感古装,9.3,263,已完结, 全25集,3,63,简介：清朝末年，江南小镇。容家大太太（归亚蕾 饰）知道自己丈夫在城里与一个叫嫣红的交际花同居，而且老爷似乎没有回家的打算。这一切都是因为大太太多年无所出。为了让老爷回家，她看上了佃农的女儿秀禾（周迅 饰），因秀禾有着一张和自己年轻时一模一样的脸，决定用她来挽回老爷的欢心，同时令容家有后。然而接下来的事情谁都始料不及。容家小叔（黄磊 饰）与秀禾相爱，而且有了交欢的事实。当秀禾有喜的时候全家都喜乐无比，直到更惊人的真相出现——原来老爷是没有生育能力的，此时秀禾的怀孕成了最大的讽刺。,
秋香,88000,4663,1198,471,177,搞笑古装,暂无评分,评分人数不足,已完结, 全20集,0,4,简介：故事发生在弘治年间，唐伯虎（耿乐 饰）不满意家里给他安排的亲事，在洞房花烛之日连夜潜逃，作为新娘，陆昭容（李若彤 饰）十分受辱，于是决定女扮男装，带着丫鬟柳儿（宋晓娜 饰），踏上了寻夫之路。,
24小时警事,91000,756,561,247,231,刑侦,暂无评分,评分人数不足,已完结, 全24集,0,2,简介：6.26国际戒毒日。临近子夜，江湖开始传言，悬赏巨金，24小时内，新任国际刑警亚洲首席缉毒官曲焕宇必遭狙杀。各方势力，闻风而动，24小时内，一场恐怖与反恐怖之战骤然拉开。刚由缉毒大队调任安全处长的陈奕名，奉命仓促上任。却不知妻女已先后遭到秘密绑架，当他意识到危机来临时，自己也陷入了精心设计的陷阱中，成为某神秘势力暗杀宇的“公开杀手”，名遂遭警方通缉。四面楚歌中，唯一能帮助他的只有一直暗恋他的女警官廖欣颐……,
剑出江南,159000,3698,2068,2118,434,古装,暂无评分,评分人数不足,已完结, 全30集,1,9,简介：这是一个发生在大明朝的《无间道》故事，不是警方与黑帮的对峙，而是锦衣卫与谋叛藩王之间的角逐。 武侠片中其实从来不缺锦衣卫，他们在那里总是助纣为虐的朝廷鹰犬，与东厂西厂齐名，一样的阴鸷险恶。 其实呢，锦衣卫是皇家禁卫军中的精英才俊，磊落男儿，既有市井丁壮，也有勋臣后裔，并非东西厂一般，由宦官指挥，专走阴险路线。历任指挥使中，不乏悯忠护贤的卓绝之士，有的甚至不惜以去就相争，气节不亚于言官谏臣。而锦衣卫成员与指挥使的关系，也有一种特别的袍泽之情。如果有这样一个以自己职责为荣的青年锦衣卫，此刻接受命令，必须去...,
各个击破,159000,431,914,148,516,刑侦,暂无评分,评分人数不足,已完结, 全28集,0,7,简介：金源市公安局资深刑警许飞，多年前在执行任务时，目睹战友潘阳牺牲、疑犯黄红兵和幕后老大蒋耀武逃逸后，苦练射击本领，成为一名神枪手。许飞受命协助女刑警队长铁成，组建追逃行动组，抓捕包括蒋耀武、黄红兵在内的负案在逃者。但是蒋耀武、黄红兵早已分裂，各自成为新的团伙首领，铁成带领许飞、马赫和安小齐等队员，深入研究每个犯罪嫌疑人的具体特点，在乘势抓捕了张占军、邱波、姜囡、陈生等疑犯后锁定并击毙了黄红兵，并从陈生口中得知，蒋耀武很可能在开黑砖窑。许飞化装潜入黑砖窑，抓捕了一名在逃者程新，并令他戴罪立功，搜集到蒋耀...,
非常案件,299000,6877,5774,561,1021,剧情,暂无评分,评分人数不足,已完结, 全20集,0,2,简介：首部悬疑推理侦破剧《非常案件》，全剧共分四个单元，分别讲述了四种类型的案件故事，在千回百转的情节之后，给出了一个令人意料不到的结局。《非常案件》由郭金、陶红等一批青年演员主演，陈宝国、朱旭等客串演出。第一单元《红舞之夜》循着一个年逾三十的舞蹈演员因爱情、事业的挫折而走向绝境的行迹，揭示了一桩看似谋杀，实为自杀的充满悬疑的案件；第二单元《黑色通道》则跟踪一条毒品走私和贩卖的线索，使形形色色的犯罪嫌疑人浮出水面，而真正的幕后元凶却令人始料不及；第三单元《神人龙面》看似充满着神秘和恐惧的气氛，但一经刑侦人...,
知情者,37000,290,281,165,241,都市,暂无评分,评分人数不足,已完结, 全24集,0,1,简介：《知情者》描述了中国证监会外派机构———平津特派办查处上市公司“华商生物”的整个过程，揭露了该公司粉饰、伪造会计报表，操纵、虚增利润等黑幕。“保护股民的利益，也就是保护中国资本市场的利益！”一位中国证监会人士说。对于那些在股市当中遭遇过挫折的股民来说，《知情者》无疑将给人以很大安慰。,
血玲珑,35000,1161,260,325,80,,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：由于地产界大亨匡宗元（蒋恺 饰）被杀，卜绣文（王姬 饰）进入警方视线。卜绣文是商界女亨，其丈夫夏践石（何政军 饰）是大学教授，夫妻俩貌合神离，维系他们关系的是女儿早早。原先匡宗元曾疯狂追求过卜，但遭卜拒绝，匡设计迫使卜在生意上与其合作。早早突患罕见疾病，唯一办法就是卜与夏再生一个孩子，用新生儿脐血救早早。海归医生魏晓日（王晖 饰）吃惊地发现，早早竟不是夏的女儿，得知真相的卜如雷轰顶，她想起十三年前曾在下乡照顾婆婆的路上遭人强暴，为救女儿性命，破斧沉舟的卜决定寻找当年的强奸犯。夏所受的打击不压于卜，精神几...,
背叛,129000,1798,2280,106,369,剧情,暂无评分,评分人数不足,已完结, 全20集,0,7,简介：一起触目惊心的命案，隐藏着不可告人的罪恶交易。一个利欲熏心的疯狂计划，揭开幕后黑手的神秘面纱……宁海市发生了一起重大的中毒死亡命案，付市长亲临案发现场，并命令公安机关迅速立案侦查。队长宁博奉命对这起中毒命案展开调查。种种迹象证明这起案件与一个叫程江（孙红雷饰）的人有重大关联。程江为了掩盖事实真相，通过威逼利诱等黑社会手段使案件侦破陷入了僵局。与此同时，幕后的真正操纵者程江的哥哥之程浩（胡军饰）正进行着一个畜谋以久的疯狂计划。程浩以世新公司作掩护，欲拿下宁海市上亿的竞标工程，为达到目的，程利用”色.情圈...,
