电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
愤怒的小鸟 第三季,2804000,2126,73000,905,17000,少儿搞笑萌系,9.8,128,已完结, 全26话,0,43,简介：愤怒的小鸟游戏风靡全球，这群性格各异的小家伙和贪婪的肥猪们之间的战争引人入胜。而动画版拉开序幕，让游戏迷们有机会更多地去了解他们的故事。小鸟一边，兢兢业业的怒鸟红责任心极度之强，时刻在保卫着三颗鸟蛋，贪玩且喜欢开玩笑的蓝弟弟、有些神经质的白公主、高傲自负又自恋的飞镖黄、木讷呆板但行踪诡秘的大红，还有一碰就会爆炸的炸弹黑，拥有不同性格的小鸟们每天都闹出无数的笑话。此外，贪婪的肥猪国王时刻没有忘记吃鸟蛋的念头，因此接二连三派出手下去偷蛋，由此引发了一场接一场紧张刺激又妙趣横生的战争……,
愤怒的小鸟：猪猪传 第一季,2556000,1814,73000,979,17000,少儿搞笑萌系,9.8,111,已完结, 全31话,0,46,简介：愤怒的小鸟游戏风靡全球，这群性格各异的小家伙和贪婪的肥猪们之间的战争引人入胜。而动画版拉开序幕，让游戏迷们有机会更多地去了解他们的故事。小鸟一边，兢兢业业的怒鸟红责任心极度之强，时刻在保卫着三颗鸟蛋，贪玩且喜欢开玩笑的蓝弟弟、有些神经质的白公主、高傲自负又自恋的飞镖黄、木讷呆板但行踪诡秘的大红，还有一碰就会爆炸的炸弹黑，拥有不同性格的小鸟们每天都闹出无数的笑话。此外，贪婪的肥猪国王时刻没有忘记吃鸟蛋的念头，因此接二连三派出手下去偷蛋，由此引发了一场接一场紧张刺激又妙趣横生的战争……,
愤怒的小鸟：猪猪传 第二季,3348000,1310,73000,1108,15000,少儿搞笑萌系,暂无评分,评分人数不足,已完结, 全26话,1,40,简介：愤怒的小鸟游戏风靡全球，这群性格各异的小家伙和贪婪的肥猪们之间的战争引人入胜。而动画版拉开序幕，让游戏迷们有机会更多地去了解他们的故事。小鸟一边，兢兢业业的怒鸟红责任心极度之强，时刻在保卫着三颗鸟蛋，贪玩且喜欢开玩笑的蓝弟弟、有些神经质的白公主、高傲自负又自恋的飞镖黄、木讷呆板但行踪诡秘的大红，还有一碰就会爆炸的炸弹黑，拥有不同性格的小鸟们每天都闹出无数的笑话。此外，贪婪的肥猪国王时刻没有忘记吃鸟蛋的念头，因此接二连三派出手下去偷蛋，由此引发了一场接一场紧张刺激又妙趣横生的战争……,
愤怒的小鸟：史黛拉 第一季,730000,639,73000,331,5891,少儿搞笑萌系,暂无评分,评分人数不足,已完结, 全13话,1,36,简介：愤怒的小鸟游戏风靡全球，这群性格各异的小家伙和贪婪的肥猪们之间的战争引人入胜。而动画版拉开序幕，让游戏迷们有机会更多地去了解他们的故事。小鸟一边，兢兢业业的怒鸟红责任心极度之强，时刻在保卫着三颗鸟蛋，贪玩且喜欢开玩笑的蓝弟弟、有些神经质的白公主、高傲自负又自恋的飞镖黄、木讷呆板但行踪诡秘的大红，还有一碰就会爆炸的炸弹黑，拥有不同性格的小鸟们每天都闹出无数的笑话。此外，贪婪的肥猪国王时刻没有忘记吃鸟蛋的念头，因此接二连三派出手下去偷蛋，由此引发了一场接一场紧张刺激又妙趣横生的战争……,
愤怒的小鸟：史黛拉 第二季,894000,655,73000,476,6151,少儿搞笑萌系,暂无评分,评分人数不足,已完结, 全13话,1,28,简介：愤怒的小鸟游戏风靡全球，这群性格各异的小家伙和贪婪的肥猪们之间的战争引人入胜。而动画版拉开序幕，让游戏迷们有机会更多地去了解他们的故事。小鸟一边，兢兢业业的怒鸟红责任心极度之强，时刻在保卫着三颗鸟蛋，贪玩且喜欢开玩笑的蓝弟弟、有些神经质的白公主、高傲自负又自恋的飞镖黄、木讷呆板但行踪诡秘的大红，还有一碰就会爆炸的炸弹黑，拥有不同性格的小鸟们每天都闹出无数的笑话。此外，贪婪的肥猪国王时刻没有忘记吃鸟蛋的念头，因此接二连三派出手下去偷蛋，由此引发了一场接一场紧张刺激又妙趣横生的战争……,
打工狂想曲,155000,2343,7173,455,8921,喜剧,暂无评分,评分人数不足,94,0,27,简介：贝奇，安吉和辛迪是在同一间公司里工作的同事，私底下三个姑娘亦是感情十分要好的好友。一次偶然中，三人在公司里捡到了一大袋钱，鬼迷心窍的她们将钱拿走藏在了贝奇的家中。虽然脑袋里有一万个想要用这笔钱来买的东西，但三人并不敢在毫不知情的情况下轻易的动用这笔钱。原来，这笔巨款的主人是公司的总经理康大维，他贪污受贿假公济私的举动不慎曝光，知情者于是向其勒索了一笔巨款，哪知道却被贝奇等人半路拿走。勒索者眼看着没有拿到钱，于是将康大维的所作所为举报给了警方，康大维随即接受了调查。得知这一事实，三个姑娘的心简直提到了...,
最后的假期,405000,7361,34000,4277,13000,剧情喜剧冒险,9.8,787,112,1,255,简介：体态丰腴的黑人女子乔姬娅（奎恩•拉提法QueenLatifah饰）是新奥尔良一家餐饮厨具连锁店的普通店员，生活在社会底层的她生性乐观，总是幻想无数的可能。她喜爱美食，暗暗喜欢着一位男同事，然而因种种原因这些都无一达成。某天，一个意外改变了乔姬娅的人生，在医院的例行检查中，她被诊断患有名为“蓝氏综合症”的绝症，只剩下三周左右的生命。倍感绝望的乔姬娅决定尽情享受最后的时光，她辞去工作，取出所有积蓄，乘飞机前往欧洲，只为品尝仰慕已久的名厨戴笛尔（杰拉尔•德帕迪约GérardDepardieu饰）的手艺。在此期间，她入住昂贵的总统套房...,
黑雨,98000,1078,8752,300,4089,动作犯罪惊悚,暂无评分,评分人数不足,125,0,17,简介：纽约探员尼克是个桀骜不驯的离异男子，他最近因渎职嫌疑被风纪部门调查。某日尼克与搭档文森在一家餐厅中偶然遇到日本黑帮的内部火并，二人虽将主犯佐藤捕获，但佐藤抢到的神秘块状物却不翼而飞。日本方面要求引渡佐藤，尼克和文森只得押解佐藤到达大阪，岂料在飞机场，尼克误将佐藤交给了乔装后的黑帮分子...,
黛丝米勒,20000,64,1396,30,2637,剧情爱情小说改,暂无评分,评分人数不足,91,0,1,简介：黛西拥有着美丽的面孔，和当时的女人们不同，她个性独立，向往着自由与奔放。在欧洲旅游的途中，黛西结识了名叫温特伯恩的年轻男子，刚见面没多久，温特伯恩便被黛西的开朗和乐观深深地吸引了，两人之间的距离越来越近。不幸的是，黛西和温特伯恩之间的感情遭到了后者姑母的强烈反对...,
挤痘大师,42596000,203000,473000,56000,491000,人文医疗,9.8,2190,已完结, 全13集,2,563,简介：桑德拉·李医生是一位皮肤科医生，在洛杉矶地区工作长达15年之久。她专门从事患者皮肤不同部位的各种肿块和囊肿的去除工作，并在全国享有盛誉。安吉丽娜的左胸下有一个巨大的胸部肿块，这不仅影响了她的爱情生活，还大大降低了她的自信和价值。德拉诺是一个雄心勃勃但饱受压抑的年轻人，他的背上有一个神秘的、足球大小的肿块，这影响了他找到工作的能力，导致他最近无家可归。卡拉从密西西比州远道而来，带着她充满活力的美国南方的魅力来到洛杉矶，希望能摘除自己头皮上5个又大又痛的囊肿。还有，布伦达的前额有一个四英寸长的肿块，靠近她的...,
如沐爱河,119000,807,8949,292,3939,剧情,暂无评分,评分人数不足,109,1,17,简介：光怪陆离的国际大都会，日本东京。灯影暧昧的酒吧内，人们窃声交谈，笑语欢歌。酒吧一隅，穿着打扮与周遭格格不入的明子面带焦虑。她是一名女大学生，为了学费而在声色场所出卖笑靥。此时此刻她正与多疑的男友在电话里纠缠。,
求生指南,96000,234,2491,186,7055,探险,暂无评分,评分人数不足,连载中, 每周二 18:30更新,0,2,简介：本片呈现了16个真实的故事，是由幸存者自己讲述的，这些故事通常来自他们实际生存情况的关键时刻。摄制组将去到世界上最极端的气候环境——丛林、沙漠、被雪覆盖的高原和茂密的森林等地方去讲述他们的故事。生存专家克里克·斯图尔特(Creek Stewart)和他的团队在每个地点着陆，等待脱水、饥饿、失血、冷冻和败血症休克的时刻到来。他们将向观众展示在这些极端情况下需要哪些关键的生存技巧，以及如何计算从死亡中逃生。,
508疑案,135000,582,3610,123,3652,犯罪,暂无评分,评分人数不足,87,0,2,简介：故事发生在20世纪80年代初一个春夏之交，刚刚迎来朝阳的清江钢铁厂炼钢车间突发人员坠落事故，一名普通工人当场身亡。在此之后，公安局抓捕了相关责任人进行审讯，然而嫌疑人和证人的证词相互矛盾，在缺少有力证据的情况下，嫌疑人最终无罪释放。与此同时，公安局派出年轻干警严盾继续调查此案。严盾和该厂保卫干事龙晓南是发小，后者又是市委书记的公子。虽然两人有着共患难的交情，但是在这起坠落事故面前龙晓南却似乎隐藏着什么，给严盾的调查设下百般障碍。未过几天，一名知情人在滂沱雨夜遇害，案件愈加扑朔迷离，甚至还牵涉出该厂另一宗...,
吾家吾国·宝藏老人的那束光,777000,1869,9977,13000,106000,人文社会,9.9,199,已完结, 全3集,0,37,简介：《吾家吾国》是由中央广播电视总台新闻中心、新闻新媒体中心、创新发展研究中心联合打造的一档针对国之大家的挖掘式纪实采访节目。《吾家吾国·宝藏老人的那束光》作为节目衍生内容，以记者王宁的视角出发，记录《吾家吾国》节目录制过程中自己的真实感受，与“大家”的真诚对话和深刻的思考。,
阿衰 第七季,16110000,12000,1040000,9927,90000,动态漫搞笑日常校园,7.2,629,已完结, 全34话,1,120,简介：怕踢学院进入新世纪，处处充满了神奇的色彩，千奇百怪的奇遇和经历，小衰衰出人意料的表示：“每次都是你们几个人，太没意思了，我要交新朋友！”同期出演的金老师，协同大脸妹、庄酷、小金等人不！认！账！小伙伴的情谊怎么可能说没就没了，看来小衰衰对大家的认识还不够深刻，因此——众人要让阿衰有个深刻的认识和交流！嘻嘻嘻~世界上有千万朵，但唯有一直是独特的你！奇幻之旅中主角担当阿衰将给我们带来什么样的爆笑故事，好戏不要错过！,
他们的城市,4513,5,33,1,8,都市,暂无评分,评分人数不足,已完结, 全13集,0,0,简介：该片讲述了刚走出大学校园的宫姿、吴四喜、杨招财急切地希望找到一份满意的工作，从而证明自己的社会价值。毕业聚会上，一场不大误会，四喜误伤了庄严，但却对他一见钟情。搬出校园后，四喜、宫姿、招财三个女生与一个男生龚启发合租。闹出不少笑话。宫姿同父异母的妹妹李思思喜欢叶开，但是叶开喜欢宫姿。庄严找四喜假装他女友搅黄了庄磬安排的相亲会。庄妈决定整四喜让她知难而退远离儿子。龚启发在小区被狗咬伤，期间，龚启发被招财无微不至的关心感动，两人渐渐有了好感。宫姿的表哥郑小宇毕业后下乡到了百花村，一心想把山村打造成花卉之...,
新网球王子 冰帝 vs 立海 未来之战,3456000,30000,821000,11000,35000,动画,9.3,984,98,3,236,简介：在冰帝学园，三年级生退下主线默默守护学弟们，以接任社长的日吉为中心，辅以同为二年级的凤与桦地的帮助一起管理冰帝网球社。就在这时，迹部财阀在香楠地区新建了一座网球场。为了举办网球场开幕的热身赛，迹部指名邀请了最适合作为对手的学校来参加――立海大附中。为了将这份全新的决心传承给肩负立海下一个世代大梁的切原等人，幸村决定接受迹部发出的挑战。在前一次大赛未能如愿对战的冰帝与立海，迎来国中时代最后一场比赛的三年级生，以及将要肩负未来的二年级生，一场众人各自的信念与心情交织的梦幻对决即将开始…,
生化寿尸,2179000,8763,21000,1263,16000,喜剧恐怖,8.3,329,95,1,76,简介：无敌和丧B是两个无所事事的小混混，他俩平常在商场的VCD专柜打工，插科打诨，悠哉度日。某天两人奉老板之命外出取车，回来的路上撞到一个西装革履的黑帮分子。该男子身上藏有一种最新的生化武器，可以将人类变为强大无比的丧尸。,
对白,24000,24,1290,64,217,剧情纪实短片,暂无评分,评分人数不足,5,0,3,简介：以对白为主题的实验影像装置，探寻人类所存在的对白形式，不仅仅是简单的日常对话，也是我们曾说出口的对白和未能说出的对白，它涵盖的内容是广泛的，可以是与历史的对白、与社会和城市的对白、与自我的对白。,
常恐,163000,83,3620,124,1019,科幻剧情短片,暂无评分,评分人数不足,21,0,15,简介：数字用来唤醒时间，他是一个被时间控制的人。每天早上他都会打理好自己的形象，开始一天的工作。他的口袋里有一张船票，他需要找到一个登船的人。她是一个奇怪的女孩，对来往的人并不感兴趣，俯身观察一颗正在生长的草。她随身带着一把尺子，在她的心中，19度是最完美的角度。她很特殊……他将船票送给了她。,
金好的故事,8143,9,101,4,16,剧情短片,暂无评分,评分人数不足,25,0,1,简介：欠下高额高利贷的哥哥，还款之日走投无路决定自杀。自杀的前一刻，得知自己一直看不上的傻弟弟中了彩票大奖。一个谎言在哥哥心中萌发，一场去朝鲜寻母的骗局即将展开...,
走神,24000,34,811,17,93,剧情短片,暂无评分,评分人数不足,14,0,4,简介：这是两个女人的第二次见面，第一次见面是在女白领yellow的家，那次见面她老公在这两个女人面前摔死了。一周过去了，yellow把她老公的情人—— 某乐队贝斯手璐约到咖啡馆，问起了这一年来璐是怎么跟她老公在一起的，于是原来拼命维护的日常生活被一层层撕开，人心也被一层层撕开。,
破碎之家,32000,75,1378,38,2640,剧情爱情,暂无评分,评分人数不足,111,0,3,简介：故事发生在比利时的根特市，浑身遍布着纹身的爱丽丝经营着一家纹身店，爱情曾经带给她的伤害让她学会了将真实的感情深深的埋藏在心底，尽管表面上看来开朗奔放，但在独处时，爱丽丝依然时不时的被痛苦的往事所戳伤。,
清水湾，淡水湾,45000,110,1447,46,3066,剧情,暂无评分,评分人数不足,103,0,5,简介：顾婷婷是在丝绸厂工作的女工，一天，她意外的得知自己的姑妈在去世之后将遗产留给了自己，就在顾婷婷准备继承遗产之际，顾婷婷的表姐出现了，她将表妹告上了法庭，认为这份遗产应该属于自己。,
我们的冬奥,9216000,76000,123000,18000,108000,剧情动画,6.3,2862,90,16,1118,简介：冬奥会即将举办，冰墩墩和雪容融在去参加奥运村的开村典礼时发生了一系列奇妙故事。小光头强与小熊大熊二一起帮助大家从暴风雪中脱险；九月偶然“捡到”冰墩墩，将其送回的同时收获完美假期；小虎妞在玩具的鼓励下勇敢面对挑战；大圣借“冰器”时遇到图图一起参加天宫冰雪大会。从孙悟空到非人哉，片中集合30+知名IP人物角色，唤醒五代人的童年回忆。,
悲惨世界,1542000,18000,52000,3759,12000,剧情历史,9.4,453,已完结, 全6集,4,98,简介：绅士冉阿让（多米尼克·威斯特DominicWest饰）因为偷窃了一条面包而被判了20年的有期徒刑。出狱后，被困顿生活逼得走投无路的他被好心的主教收留，可是，未能经得住内心阴暗面考验的冉阿让却偷走了主教家的银烛台。被捕后，主教为了保护冉阿让，遂承认是自己主动赠与对方烛台，主教这一举动彻底的感化了冉阿让，令他决定洗心革面做个好人。时光匆匆流逝，曾经的囚犯如今已成为德高望重的镇长，可即便如此，嫉恶如仇的警长沙威（大卫·奥伊罗DavidOyelowo饰）也一直没有放弃过对于冉阿让的追踪。为了弥补自己曾经的过错，冉阿让答应妓女芳汀（莉莉·...,
野外生存100天,1400000,9996,21000,1359,13000,探险社会,暂无评分,评分人数不足,已完结, 全7集,2,22,简介：一群陌生人告别舒适的生活，前往阿拉斯加，他们的梦想是建立一个不依赖现代设施的社区。还有三个月就到冬天了，所以他们需要与时间赛跑。,
中关村风云,7312,11,80,2,17,,暂无评分,评分人数不足,已完结, 全22集,0,1,简介：清华大学计算机系“三剑一侠”卫翼、廖明涛、凌志、苏雪儿毕业后，随指导老师徐恩平闯荡中关村，在初次创业失败后，各奔前程。卫翼与徐老师重整旗鼓。以“超越”公司进行二次创业，廖明涛经过努力成为跨国公司美国“新视窗”的高级白领，凌志凭借婚姻一跃成为“东升”集团总经理，他们在原先的核心技术上各自开发出新的拳头产品，在中关村形成三足鼎立的局面，雪儿与三位男主人公发生了感情上的缠绵纠葛，绝望之后远渡重洋。几年之后雪儿随夫龙烈生回国创立了“创新”公司，力挫群雄，终于成为中关村的皎皎者。一场场商界的“马其顿”一出出商...,
淘气包马小跳,622000,2046,9497,380,2378,家庭,暂无评分,评分人数不足,已完结, 全103集,0,16,简介：该剧通过描写以马小跳为代表一群孩子的快乐生活以及他们和家长、老师、同学的好玩故事，映射当代儿童的生活现实与心理现实，深情呼唤张扬孩子的天性，舒展童心、童趣，探析成人世界与儿童世界之间的隔膜、误区，倡导理解、沟通，让孩子拥有健康、和谐、完美的童年。,
血色蔷薇,32000,9,447,11,59,悬疑剧情,暂无评分,评分人数不足,已完结, 全22集,0,0,简介：冯眉眉金蔷薇公司董事长，蔷薇园的业主，美丽风韵，成熟干练，有着极强的事业心，并拥有成功的事业，她拥有的蔷薇园蕴含着巨大的价值，因此它也卷入了对蔷薇园垂涎者所设下的巨大阴谋当中，为了维护这座祖传的圣宅，冯眉眉与房地产公司老板秦川及其他的争斗者们进行了激烈的抗争，她屡遭磨难，不但被陷害入狱，甚至连最珍贵的感情也被阴险狡诈的律师欧阳秋所利用，同父异母的妹妹许寒月也在她身边悄然的对她实施着复仇的计划……冯眉眉为证明清白委托律师欧阳秋为自己辩护，欧阳秋出于职责接受了委托。但是这却引起了未婚妻、京剧世家出身的宗...,
爱可以不伤,14000,1,81,--,11,情感,暂无评分,评分人数不足,已完结, 全19集,0,0,简介：八年前，涂靖宇的父母因车祸身亡，妹妹箬婷患病住院，父好友宋伟励收养了涂家兄妺俩。涂靖宇和宋伟励的女儿心怡成婚，不料在旅行中突发火灾，宋伟励、心怡不幸死亡，涂接任怡然集团总经理。一项收购计划中，杨光与振东意见不合，涂支持杨光引起振东嫉恨，告发涂有纵火嫌疑，致使收购资金不到位，陷入困境。妻子贤爱离开涂，振东在偶然中结识箬婷，得知涂是无辜的，杨光就是易容后的心怡，她并没有死，而是怀疑涂有纵火嫌疑回到怡然集团，欲寻机报复。振东毅然帮助涂澄清亊实，杨光伤痛欲绝，不能原谅自已。风波过后，涂重振怡然，收购案成功。...,
料理情人梦,11000,53,188,31,63,剧情,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：故事发生在一间百年老店金鸡母之中，店名金鸡母是店中的一道招牌菜，这道菜传女不传男，一直都由店中的女性接班人接手。这么多年来，金鸡母一直凭借着极佳的口味和热情的服务深受街坊邻居们的喜爱，但到了黎安安（李佳颖饰）这里显然一切都开始变得不同，黎安安可没有着想将店铺发扬光大的宏大志向，正相反，她一心想要吊一个金龟婿嫁入豪门成为阔太太。随着黎安安一天一天的疏于经营，再加上竞争对手的不断增加，金鸡母的实力一天不如一天。一场意外让黎安安的豪门梦彻底破灭，不仅如此，金鸡母还成为了她最后的希望。,
淬火成钢,59000,34,359,21,92,战争剧情,暂无评分,评分人数不足,已完结, 全34集,0,0,简介：电视剧《三军大会师》讲述了红军从1936年4月即将结束东征，红军一、二、四方面军历经西征、甘孜会师，北上、会宁大会师，将台堡大捷，重创国民党部队，展现了毛泽东、周恩来、朱德、彭德怀等一批历史风云人物，以及红军队伍中的铁家父子以及程家姐弟等一批小人物，他们在会宁大会师前后的坎坷选择和经受的历练等。,
毛毛镇 第三季,646000,30,2808,466,9140,萌系搞笑少儿,暂无评分,评分人数不足,已完结, 全52话,0,6,简介：故事围绕着生活在毛毛镇的狐狸尖尖、斑马条条、瞌睡象和小鳄鱼展开。他们生存的世界经常被外来的叮咚（来自人类世界的垃圾）打扰。毛毛镇的小伙伴们设法将这些外来物品改造成好玩的玩具和有用的工具。小伙伴们努力让他们的世界更美好，同时也收获着成长和友谊的快乐。,
007：无暇赴死,15719000,60000,383000,20000,82000,动作惊悚冒险小说改,8.3,2852,163,10,543,简介：世界局势波诡云谲，再度出山的邦德（丹尼尔·克雷格饰）面临有史以来空前的危机，传奇特工007的故事在本片中达到高潮。新老角色集结亮相，蕾雅·赛杜回归，二度饰演邦女郎玛德琳。系列最恐怖反派萨芬（拉米·马雷克饰）重磅登场，毫不留情地展示了自己狠辣的一面，不仅揭开了玛德琳身上隐藏的秘密，还酝酿着危及数百万人性命的阴谋，幽灵党的身影也似乎再次浮出水面。半路杀出的新00号特工（拉什纳·林奇饰）与神秘女子（安娜·德·阿玛斯饰）看似与邦德同阵作战，但其真实目的依然成谜。关乎邦德生死的新仇旧怨接踵而至，暗潮汹涌之下他能否拯救世界？,
斯文江南,419000,1531,13000,1091,4704,文化真人秀,暂无评分,评分人数不足,已完结, 全10集,1,18,简介：全国首档经典文本围读节目《斯文江南》，邀请多位演艺名家/文化学者共同聚焦五大江南文化地标: 浙江绍兴、江苏苏州、上海、安徽宣城、浙江杭州。以历代文人雅士围绕该地域所创作的经典文学作品为核心，【强文本】通过围读作品，点燃文学内涵；【强实景】内景打造园林实景，演绎历史情境，抒发人物情怀；【强共鸣】致敬文化先贤，延展人生体悟。从实地走读、戏剧围读到全民共读，名家名作名山名楼，立足江南辐射中华，见贤思齐涵养道德，让古今现代的经典文本成为人们内心不朽的文化图腾。致敬飞奔的时代，聆听文学的乡音。,
福尔摩斯与中国女侠,1228000,2500,14000,462,11000,喜剧动作,7.6,153,83,1,74,简介：故事发生在清朝末年，大侦探福尔摩斯和助手华生一起来到中国游玩，投宿在仙来客栈。没想到客栈被官兵重重把守，一片鹤唳风声的肃杀气氛。原来，朝廷的一批价值连城的珠宝不翼而飞，负责护送珠宝的将军布克亦身首异处。于是，福尔摩斯和华生便留了下来，企图侦破此案...,
Ｄｒ．ＳＴＯＮＥ 石纪元 粤配版,2453000,7663,4213000,5052,70000,漫画改科幻励志冒险,9.5,621,连载中, 每周一~周五 18:00更新,0,173,简介：全人类因神秘现象瞬间被石化后，过了数千年——。拥有超人头脑的科学少年千空苏醒了。面对文明灭绝的石之世界，千空决心用科学的力量夺回这个世界。让体力过人的青梅竹马·大木大树苏醒，要从零开始创造文明——从石器时代到现代文明，追上200万年的科学史！前所未闻的创世冒险故事，就此展开！,
榜样,6637,--,99,7,177,少儿,暂无评分,评分人数不足,已完结, 全20话,0,2,简介：学校组织“唱红歌学英雄歌咏大赛”，五年级班主任马峰组团参加。他组织学生木兰、齐杰、毛亮、包梓、可儿组成五人合唱团，决心取得胜利。起初，新时代的小学生们很难理解红歌和英雄人物，他们把红歌演绎成了摇滚，把《小兵张嘎》演绎成警匪片。学习江姐，他们却仅仅痴迷江姐的造型，学习小英雄雨来，他们学到的却是和老师斗智斗勇。然而，他们渐渐地喜欢上了雷锋、刘胡兰、白芳礼这些人物，懂得了团队合作，演唱水平日渐提高。最终克服重重困难，参加了比赛。,
榜样发现团,2430,--,99,1,52,少儿,暂无评分,评分人数不足,已完结, 全16话,0,0,简介：毛亮、木兰、齐杰、可儿、包子五个活泼可爱的孩子过着丰富多彩的校园生活。有一天，他们不小心打破了沙莎老师的榜样橱窗，为了弥补错误，他们决定自己动手恢复橱窗。五人在图书馆寻找榜样资料，发现了一本老英雄的日记本。这本日记再现了喜峰口战役、卢沟桥七七事变等重大历史事件，孩子们在学习历史的过程中，受到了吉鸿昌、李白、佟麟阁等英雄人物的鼓舞和启发。,
鸡祥如意,137000,1533,2809,125,1104,,暂无评分,评分人数不足,已完结, 全30集,0,13,简介：某朝皇上喜欢鸡能从鸡形象上悟出威猛、勇敢和不屈可观点有些曲高和寡。儿子和姚丞相都认为观点有些牵强，太子为了劝阻其父斗鸡竟把爱鸡“凤雏”偷出宫去，结果皇上一病不起如丧考妣。皇上传旨坚决要把鸡贼查个水落石出，心怀叵测石太师趁机向太子和丞相发难。偷出宫去鸡竟然走失了，爱鸡失窃皇上倍感伤痛，决定通过举办“鸡王大赛”另寻新鸡。有个商人生意败落了无力抚养孩子三郎，便嘱咐他去找自己京城一个朋友开染坊金二。两人当年曾经指腹为婚，有过儿女亲家约定。于是三郎抱着只名叫“大帅”鸡作为聘礼找到了金家。金二嫌贫爱富，见三郎家...,
阿诗玛新传,11000,14,165,--,21,剧情,暂无评分,评分人数不足,已完结, 全20集,0,1,简介：40多年前由杨丽昆主演电影《阿诗玛》不仅带人们领略了云南美丽风光和浓郁少数民族风情片中阿诗玛和阿黑哥爱情故事更感动了一代人而记者采访中了解到目前这部名为《阿诗玛新传》电视剧并非当年“经典重拍”而另起炉灶。由韩雪饰演“阿诗玛”生活现云南某地希望小学老师分享者电视网addintime.com天生一副好嗓子偶然间被来云南采风韩国作曲家发现力劝去都市发展自己歌唱事业并担任一部电视剧女主角。听上去一个灰姑娘遇到王子美好故事但这个“现代阿诗玛”一路走来却遇到了许多意想不到事情：和韩国作曲家纯真友谊被剧组当作绯闻来炒作自己拍摄过...,
三字经里的故事,12000,4,137,7,30,少儿,暂无评分,评分人数不足,连载中,0,0,简介：本片以故事的形式解读《三字经》,由布袋和尚讲述的第一个故事开始.孔融,东汉末年豫州鲁国人,是孔子的二十世孙,天性淳厚,从小就懂得谦让.四岁时,有一天有人送来一篮梨子,他父亲叫孔融先挑一个吃.孔融挑了一个最小的.他的父亲觉得很奇怪,问他:"孩子,你为什么不挑大的梨子呢?"孔融回答说:"我的年纪最小,应该吃最小的哥哥年纪比我大,应该吃大的."宗族中的人知道这件事后,都对他另眼相看.故事没有讲完,希望这些典故能对少年儿童起到深远的教育意义。,
吾儿可教,73000,95,471,38,127,剧情,暂无评分,评分人数不足,已完结, 全48集,0,6,简介：极品家族好事成双，祸不单行。老夫少妻的关键和麦小小顺理成章有了小孩，无奈却摆不平心有不甘的前妻；小夫妻关辛和华向强意外怀孕，隐婚后遗症，被旁人误以为“私生子”。两人养小孩就像玩。孩子一出生，网上各种育儿宝典，小两口一一尝试。襁褓中萝莉正太嗷嗷待哺，两对极品爸妈却忙着把自己的育儿日志写在朋友圈里，赢得无数回应。在这场乌龟战蜗牛的育儿拉力赛中，评委是邻居一对儿把宠物当孩子的丁克夫妻，却因突然萌生的“造小人”念头击中，从此开始了各种啼笑皆非的尝试。,
老公的春天,139000,1101,568,60,177,剧情家庭,暂无评分,评分人数不足,已完结, 全36集,0,3,简介：宫喜（张国立饰）苦熬多年，眼看副科长要“扶正”，还没来的及高兴，家庭危机已悄然临近。妻子艾娇娇（王雅婕饰）一个电话把他催回家，不问三七二十一就是一通数落，宫喜跪在地上擦地板，楞是没脾气。艾娇娇当年是校花级美女，身后的追求者不下一个加强连，但她谁也没看上，“下嫁”给了一文不名但胸怀大志的穷小子宫喜。经过多年机关的生活磨练，宫喜早没了当年的雄心和锐气，而事业上风声水起的艾娇娇越来越看不上平庸窝囊的宫喜，她提出了离婚，饱受压抑的宫喜同意离婚，但他提出儿子灯灯（崔璨饰）饰）的抚养权归他......,
中华传统文化故事·节庆篇,4481,2,141,4,20,少儿,暂无评分,评分人数不足,连载中,0,0,简介：《中华传统文化故事·节庆篇》总共80集，每集10分钟，一集一个独立的故事。全篇故事用诙谐、浅显的描述来体现了我们中华民族多姿多彩的各种节庆及节庆习俗。本动画主角形象鲜明、性格迥异，贴近现实，很好地体现了当代少年的精神风貌。故事由来自奇兔星球的小发明家小兔子棒棒和地球上的兄妹皮皮、茜茜一起无意间到了一个奇怪的火车站，小火车“轰隆隆”地进站了，三个小伙伴被吸入小火车奔向了神秘的远方引出。本篇章以中华传统文化中的节庆文化为内容，分四大章，按照节日来历、节日习俗来历的顺序进行创作。篇章涵括中国四大传统节日——春节...,
相约,12000,128,174,6,43,剧情,暂无评分,评分人数不足,已完结, 全11集,0,0,简介：1984年的夏天,北京某大学的毕业生即将奔赴工作岗位。江达明和陈静这对相爱了多年的恋人双双留在了北京,而江达明的好朋友,暗暗爱着陈静的李强将去郊区一家小厂报到。血气方刚的南方小伙王凯一心想回到养育他的家乡去一显身手,为此他不得不忍痛暂时离别心爱,
生死格斗,149000,1110,4029,107,4084,动作冒险,暂无评分,评分人数不足,86,1,15,简介：为了追寻哥哥的踪迹，某国公主霞坚持要参加世界上最权威的格斗比赛“生死格斗”，在比赛中，参赛者随时都有丧命的危险，而自己的命只有自己负责。与此同时，女飞贼艾伦、摔跤手蒂娜、游戏主办者的侄女海伦娜，以及世界各地的武术高手都收到了比赛的邀请函，一帮野心勃勃的武者向着比赛场地神秘岛进发，他们各有各的隐情，但最终目的都是打倒对手，获得千万奖金...,
